Long name,Long name for cards,Short name,Description,Category,Status,Logo (for cards),Logo (for map),Link,Short URL,Date added,x,y,Scale,Publish?,Hide?
Bank of England,,,"UK central bank. Publisher of the April 2025 'Financial Stability in Focus' report on AI in financial services, already in the paper canon, examining systemic risk from AI adoption and concentration in financial markets.",Video,Active,https://icons.duckduckgo.com/ip3/www.bankofengland.co.uk.ico,https://icons.duckduckgo.com/ip3/www.bankofengland.co.uk.ico,https://www.bankofengland.co.uk/,,,26.2,5.6,,TRUE,FALSE
AI X-risk Research Podcast (AXRP),,,"Interviews with (mostly technical) AI safety researchers about their research, aiming to get a sense of why it was written and how it might reduce existential risk from AI. Has interviewed David Duvenaud (Gradual Disempowerment co-author) and covered multi-agent/collective-behaviour research topics.",Podcast,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/vmautJ6ArlgPQ1Mb4eKoow/kKhOzHkLarpC01X5Thw5xEtWa1FdPvmqieI0C97Cqs_T3vh3J8f3SdXgCmhotktj-K5U2tGIJOB6Ep3xhpIwkUwEhhA3LmcKbEESkCz0yAVm5Gn7kdMp_da8jySXIfCoaAYML3jjMctQYGtg9GKlQ5OivYPZtj0VPW6TTeIVJMA/dQR7Xb6X5nCNj0kikAA5WFqZ0KQr7Twvh4Mr4v6RhLM,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/vmautJ6ArlgPQ1Mb4eKoow/kKhOzHkLarpC01X5Thw5xEtWa1FdPvmqieI0C97Cqs_T3vh3J8f3SdXgCmhotktj-K5U2tGIJOB6Ep3xhpIwkUwEhhA3LmcKbEESkCz0yAVm5Gn7kdMp_da8jySXIfCoaAYML3jjMctQYGtg9GKlQ5OivYPZtj0VPW6TTeIVJMA/dQR7Xb6X5nCNj0kikAA5WFqZ0KQr7Twvh4Mr4v6RhLM,https://axrp.net/,,,11,18.5,Medium,TRUE,FALSE
AI Prospects,,,"Blog by K. Eric Drexler on AI prospects and their surprising implications for technology, economics, environmental concerns, and military affairs.",Blog,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/Fqtgdy5Mx06r5rz0MKshrA/VMz2WlyMXot0Pn88esA0cn0_yTMYN2tP1uIkromIB9rLsibrerh_5eU0KUUghPWKVZRcjyB7tL3N8SlMrD2wN7V2jloxbqJE-RkhQUh27STdJjwzJDhVCEnoOD3XoEqj2kJyyDqnZmJ1TE_T-co3lU51qOmMYCXMPRPUcPDsd_c/2OF5DHCs7KQ7-YwmmgCuDaaSyR4-oE5qAzqLuESyh9s,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/Fqtgdy5Mx06r5rz0MKshrA/VMz2WlyMXot0Pn88esA0cn0_yTMYN2tP1uIkromIB9rLsibrerh_5eU0KUUghPWKVZRcjyB7tL3N8SlMrD2wN7V2jloxbqJE-RkhQUh27STdJjwzJDhVCEnoOD3XoEqj2kJyyDqnZmJ1TE_T-co3lU51qOmMYCXMPRPUcPDsd_c/2OF5DHCs7KQ7-YwmmgCuDaaSyR4-oE5qAzqLuESyh9s,https://aiprospects.substack.com/,,,12.5,24.3,Small,TRUE,FALSE
The Cognitive Revolution,,,"Weekly podcast where host Nathan Labenz interviews AI innovators and thinkers, discussing the transformative impact AI will likely have in the near future. Has covered agent-to-agent economy dynamics and interviewed Zvi Mowshowitz on AI safety worldview and multi-agent-relevant topics.",Podcast,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/6iqNTU3PhU1HQFn-PA_vXg/c5B1Gft-aVXLUs9I_otHwdjzOYUL5AhC05Qc-ac94o--NWVVPo2oGkjR7K05YaLKOEdQcYfkXTLi9Q_unzWUm__6rswO-9dNXLlPMkbZnZtSdcRIxJqQ2A9_j-tpQPkBLxxvC_HK3be7dRfHMRlXi64r7FY-6LyQtcH8WAN6K8k/FPjGSO6LIt1X-N0yCVAwD0q0g-ZTntNhsSxKgluu7V4,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/7f0LoRmyT5q9CpS6uPZr0Q/GgCx0FTCx4p3W-gxsBYgrr42ReW4me6ycB_pSOTAyLdFvnIz2-ZjQ_ciFGB1PZkIzNazjPpVQ4RXiZJt0GhOMzou3Gog_sjI92nQcxpYizv-_aVcMAGl4Ch0WmkWLjV7bryXFfIUXsWIwxytVokEGQdkqnTQL0oSny6ELJh99yw/XTfID-L_76vAbVOjYUK1iqcz1bfW_JMK8UgdwCxPezk,https://www.cognitiverevolution.ai/,,,11,21.8,Medium,TRUE,FALSE
Import AI,,,"Weekly updates on the latest developments in AI research (including governance), written by Jack Clark, co-founder of Anthropic.",Newsletter,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/ho0cldJ-VbjL3FDRVVlkdQ/QniDAAuHcX_WECQujmFenCq6SlY2OpZcos3UABM1WUlMefRRRLkGRSoqPt1wEQsV2L_yAbfl0Av3x0QGWoZeLfQuIULOULZclNmUfdHKinA6XrHbZ0ft2X-llBImy59ekeQGznEoO-sckStJS5viNA/HCft1jgUYRf_pB80elttHEEEr4GVD-4BqUbVfTwegYU,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/ho0cldJ-VbjL3FDRVVlkdQ/QniDAAuHcX_WECQujmFenCq6SlY2OpZcos3UABM1WUlMefRRRLkGRSoqPt1wEQsV2L_yAbfl0Av3x0QGWoZeLfQuIULOULZclNmUfdHKinA6XrHbZ0ft2X-llBImy59ekeQGznEoO-sckStJS5viNA/HCft1jgUYRf_pB80elttHEEEr4GVD-4BqUbVfTwegYU,https://jack-clark.net/,,,17.1,15.6,Large,TRUE,FALSE
LargeAgentSystems.org,,,"Resource hub for the emerging field of Large Agent Systems (LAS) safety - decentralised systems of AI agents with high-speed, complex interactions, often ingratiated with the real world and possibly including humans (e.g. agentic economies, societies, democracies). Covers threat models including distributional AGI, gradual disempowerment, and systemic financial risk from agent integration.",Research support,Active,https://icons.duckduckgo.com/ip3/largeagentsystems.org.ico,https://icons.duckduckgo.com/ip3/largeagentsystems.org.ico,https://www.largeagentsystems.org,,,9.8,6.7,,TRUE,FALSE
Large Agent Systems Safety (Slack channel),,,"Community Slack channel for discussion and coordination around Large Agent Systems (LAS) safety - the emerging field concerned with making decentralised, high-speed, complex multi-agent AI systems beneficial to human well-being.",Resource,Active,,,,,,0.3,8.0,,TRUE,FALSE
EvoMap,,,"Agent-to-Agent (A2A) collaboration network implementing the Genome Evolution Protocol (GEP), letting AI agents package, share, and inherit validated problem-solving capabilities ('Gene Capsules') across models and organizations via a credit-based marketplace.",Empirical research,Active,https://icons.duckduckgo.com/ip3/evomap.ai.ico,https://icons.duckduckgo.com/ip3/evomap.ai.ico,https://evomap.ai/,,,50.3,16.0,,TRUE,FALSE
Olas Network,,,"Decentralized protocol (formerly Autonolas) for building, registering, and monetizing autonomous AI agents on-chain. Provides on-chain registries (agents/components as NFTs), a staking/bonding tokenomics model, and a Mech Marketplace for agent services.",Video,Active,https://icons.duckduckgo.com/ip3/olas.network.ico,https://icons.duckduckgo.com/ip3/olas.network.ico,https://olas.network/,,,19.8,8.0,,TRUE,FALSE
Bittensor,,,"Decentralized blockchain network structured as many interoperable 'subnets,' each an incentivized market for a specific AI/ML task (LLM pretraining, inference, data, image generation, etc.), coordinated via Yuma Consensus and priced in TAO.",Video,Active,https://icons.duckduckgo.com/ip3/bittensor.com.ico,https://icons.duckduckgo.com/ip3/bittensor.com.ico,https://bittensor.com/,,,23.0,8.0,,TRUE,FALSE
Collective Intelligence Project,,,"501(c)(3) nonprofit R&D lab building tools and datasets (e.g. Global Dialogues, Collective Generation, Weval) for democratic oversight and collective governance of AI, connecting global public input to AI labs, governments, and standards bodies.",Governance,Active,https://icons.duckduckgo.com/ip3/www.cip.org.ico,https://icons.duckduckgo.com/ip3/www.cip.org.ico,https://www.cip.org/,,,34.5,5.5,,TRUE,FALSE
Metagov,,,"Interdisciplinary research collective building standards, infrastructure, and empirical research for digital self-governance, DAOs, and online communities. Runs DAOstar (DAO governance standards body) and Govbase (crowdsourced governance database).",Conceptual research,Active,https://icons.duckduckgo.com/ip3/metagov.org.ico,https://icons.duckduckgo.com/ip3/metagov.org.ico,https://metagov.org/,,,46.0,5.5,,TRUE,FALSE
Lida Safety Research,,,"Small nonprofit dedicated to technical AI safety research focused on forecasting and simulation, particularly mitigating existential risk and gradual disempowerment; work feeds into AI governance and public education.",Empirical research;Forecasting,Active,https://icons.duckduckgo.com/ip3/www.lidasafety.org.ico,https://icons.duckduckgo.com/ip3/www.lidasafety.org.ico,https://www.lidasafety.org/,,,53.5,16.0,,TRUE,FALSE
Equilibria Network,,,"Builds mathematical frameworks (phase transition analysis and related tools) to predict where multi-agent AI systems break down, and identifies control levers to prevent those breakdowns. Explores the design space of collective intelligence through simulation and mathematical foundations.",Conceptual research;Governance,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/oRTOPF3KbskB9T6dbLQdpw/vGIRyYldBpsv-LtT4G7d9B5ZjuY8N5dKqcBkkjAcjx_UwYtho9BTiD0U2GD-PLSPD86WZrNaRRA3eYHHjXs1fQw-szHuUS6xSpZpUnpDsr0hu4Nj4NRyGx2l9qNQrjwy_rQGei_4ifypb6W9D8lObQ/P76uCVR846LdqTuGtFCzNPbgphgejycTEW9QScmwa6s,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/xj1r0a21MFAJ8udxTBpLpQ/cbLiATCsElnZCEF5Ly6roQe_3DKX2Q5rM1Ur53Gy_CLf5TkkiiqdwaXaYrPtPGpSwUdwsZeUxA5Vo6r3Rh7OYLz2mMSo9peOyXerLZChKUKUia29D9TaI3RDZqPcRhYkKKow3G183E7Udyz-wKzvfQ/PK5O7rCiVnNgsyvjjewt5mJbtQHCY9a--tJSI2PkTd0,https://eq-network.org/,,,42.2,5.3,Small,TRUE,FALSE
Alignment of Complex Systems Research Group (ACS),,,"Interdisciplinary research group studying multi-agent systems composed of humans and advanced AI, across scales from individual agents to civilization-scale systems. Core research threads include gradual disempowerment, LLM psychology/sociology, hierarchical agency, and a general 'science of the space of intelligent systems.' Built InterLab, an open-source toolkit for multi-agent interaction experiments.",Conceptual research,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/r2d8eOfTaw65KtB6ee2jnA/3onZFH8mwNHbkcUJW9hcDRYM71tv4FFXO2X3rwAub4aG6JCXxejadB9pCYgyirxW2dfNOwPMKrOa51yiD4B-hnsAJAdmTwjEY5mdp0WFYMo7ZDIHXT4lXZ1qZ4Pwpw0b5sfloe6_1xz3SYp1geDbbs0B6z3k7tnG8oRIgJnxjjA/tRygffx4SdXcTXZ5Ja21epDmuSjPkb4472cKv-NGOuE,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/HMNpA6mOmiXXLBYFFhzjHw/0TtUK9ZwpX9UmhOtV9AyvFTJluKhYmLN6E92QZ8OTXpv7Uj6ibqlYpubSldOZ1QoFr3DTIiJWa0c3xIb7ZphrQVkJwjUzu0pJeTnuAxmqh-EAEgQDHAKRcwANSYTwTORR0A7wT-ZDE2olkvxCVHcIQ/uqrBg1TXMzbQ8qJlwN3veiK6SHCJGCREoIPoAc7p04M,https://acsresearch.org/,,,45.8,10.1,Small,TRUE,FALSE
National Bureau of Economic Research (NBER),,,"US economic research organization distributing working papers ahead of peer review across all fields of economics. Publisher of 'Automation and Repression' (Acemoglu, Gitmez & Shadmehr) already in the paper canon, and of the volume 'The Economics of Transformative AI' containing 'An Economy of AI Agents' (Hadfield & Koh), also in the canon.",Video,Active,https://icons.duckduckgo.com/ip3/www.nber.org.ico,https://icons.duckduckgo.com/ip3/www.nber.org.ico,https://www.nber.org/,,,26.2,8.0,,TRUE,FALSE
Centre for the Governance of AI (GovAI),,,"Independent nonprofit research centre producing rigorous research on AI governance and fostering policy talent, spun out from Oxford's Future of Humanity Institute in 2021. Research spans international security, arms race dynamics, compute governance, and - notably for LAS - agent infrastructure and governance (e.g. recent work on private-actor vs. government roles in agent protocols/safety).",Governance,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/oZ3WMeieiVHzhJjmA17H5w/zU44aTF4MT3K7i4Q2iEIa839cAzBjYbxDJSgt3X12jMRdcqn-kZuUGYqf-2IF2lELqmArJm58e68lLJ19DWekEm1RElfueWED7MzoOpDoQ0MbsIN4VmJaoGluPkexMBXfIWUSvOM1_nQuj6apY-1Bg/gKsk_0me7nicIeLCHxIv9-Dc_YTyVQvz22B9hOYDGn4,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/XLLg8UCFJ5-4VH_xhqadsQ/qQQmNgyp2YXyqwR6eWCF_-925MaFbfiiQfZ08vc_TUrdhkIguug2WTumkw2ZrKSRKd0Tk2_0mdpXwdIogzG1LOqSV2HR42N-HvwNZhy6d7XaqrlyJ2r3prKc9B-R0HAH-hXNZl9bD-8wo8LOVt6EjzZriG_z0Gkkz6EXiAN7dr8/MZX7eoYeHnJxiS9gINKXeiQavsykS8YxsZu2zdwazjM,https://www.governance.ai/,,,36.8,6.8,Medium,TRUE,FALSE
AI Safety South Africa (AISSA),,,"Capacity-building organisation focused on developing skills, networks, and community for preventing global catastrophic outcomes from advanced AI. Drives the Cooperative AI Research Fellowship (with CAIF, PIBBSS, and UCT's AI Initiative), serving as both talent pipeline and research direction-setter for UCT's emerging African AI Safety Hub.",Video,Active,https://icons.duckduckgo.com/ip3/www.cai-research-fellowship.com.ico,https://icons.duckduckgo.com/ip3/www.cai-research-fellowship.com.ico,https://www.cai-research-fellowship.com/,,,19.8,10.4,,TRUE,FALSE
BlueDot Impact,,,"Runs the standard introductory courses for people new to AI safety: Technical AI Safety and Frontier AI Governance, plus AGI Strategy. The Frontier AI Governance course includes a unit examining 'competitive dynamics between labs and states, power concentration' relevant to multi-agent/multi-principal AI ecosystems.",Training and education,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/GZAhCpzZE7HAGzbGdg0xsQ/PP1lSSM3WCBNbs7TZ0rxnlFFysy4-X6A9YpHH620SK11T1z2yGJcB6bKy69shMv08P289Jbx6fSBdcnoFqEMiCZE09Ah8-JRupSaFvzmQ5s_ZIbCsL1bUJjT_8rGLzXEeLp-D2-YJe2WYnDBmdJe8-ofBJtNxXTKybtycGzwmTs/IlKhRRMRam0OwubEHJA81tv_9cvEeeo73rkz4upGtQQ,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/kIKTU51lKB4Uglv5NHBL0Q/x1X7PJDKBGD6hAVCaojC-oMJJ4MeBVtBbyMq5-Ql2qNAmtCht9Mg8GWLwatjKGUk75G5qPM19XSb8_sr3_bigzT8o242_vMNSyb_bTCJYLH1FR9S2PPkO2FAzfis546A8Mls0wVGRADatDtFbYRNmQ/xt4TEa0bOYh0oP7h8Ux1iaw73L6EI9eHhJCyWYM_2_4,https://bluedot.org/,,,20,18.3,Large,TRUE,FALSE
"80,000 Hours",,,"In-depth career advice organisation covering the world's most pressing problems, including AI safety, through a job board, problem profiles, and a podcast featuring extended interviews with researchers across the field.",Career support,Active,https://icons.duckduckgo.com/ip3/80000hours.org.ico,https://icons.duckduckgo.com/ip3/80000hours.org.ico,https://80000hours.org/,,,27.3,29.4,,TRUE,FALSE
PIBBSS Fellowship,,,3-month interdisciplinary program connecting researchers from diverse fields with AI safety mentors. Runs a dedicated Cooperative AI Track (funded by CAIF) focused on projects aiming to mitigate multi-agent AI risks and enhance cooperative intelligence of advanced AI.,Training and education,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/bkkd2bHjNa6ssnkKI3JJyQ/BsHN9GGTFyTiCKUVhbqKhu8cYitTVP8qebCK087bQAB_ygpr-HQrlVv7lR3yhBi2YTCbBtfK6h4NiYFf736uxrZ0H0uCmZOt7_QK8A2ULEMYBmEheSL-9EA5jLVDoScYaPPqvFROlXWjwdzcSGRJBwvSSpwmpX9-CENH2dG-JY0/1RdiypzDHxwi-_pHoL23JJvmR7TfYLohm2NN2LAdO2s,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/RUYRSOIW9FFFbaUN_tv65w/tuk5mZMYCZC_OGL-uhkOTsU-SUd-KUJ8AUaCy0g4Ixndl87DVNVcUUpjOAnchb3iRUZRxh3W3b7NMh0mStD_dgKWanNMhQk50cqtHM-4_ziypmIeRUK1pGkP6hCFAamuqdZ4MQgVgFcqW8--QQxM1lU8Hkk2WStYej-5KvEeewI/zEKluwzZja6yVPlCzLyr2Eqant1yX7WwypiuopOP89w,https://princint.ai/programs/fellowship/,,,31.6,20.8,Medium,TRUE,FALSE
Cooperative AI Foundation,,,"Charitable foundation supporting research to improve the cooperative intelligence of advanced AI, funding grants, PhD fellowships, and workshops; produced the field-defining 'Multi-Agent Risks from Advanced AI' survey.",Funding,Active,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/6OwAWslGui6oG8Gep2vMDQ/C2EW-MFYyY35v-rL1Jci9qI5JJkjzQPPMGR5acAuIfQ5fTHYV4Syk2BkdFy-lJpKXepzkEk9v1XnEZC5GqjZyz9dxNNUgjC26Ru_A7W_aBo9bFqxA5RigMSdKtfwFJh9ExK1A1qjgfFRQXNjTdn20w/Tsfxzl6oCblFBaRu3Wtmo0mF3s-5sQUNKxtwdpNJCTg,https://v5.airtableusercontent.com/v3/u/55/55/1784059200000/6OwAWslGui6oG8Gep2vMDQ/C2EW-MFYyY35v-rL1Jci9qI5JJkjzQPPMGR5acAuIfQ5fTHYV4Syk2BkdFy-lJpKXepzkEk9v1XnEZC5GqjZyz9dxNNUgjC26Ru_A7W_aBo9bFqxA5RigMSdKtfwFJh9ExK1A1qjgfFRQXNjTdn20w/Tsfxzl6oCblFBaRu3Wtmo0mF3s-5sQUNKxtwdpNJCTg,https://www.cooperativeai.com/,,,32.2,5,Medium,TRUE,FALSE
