name,type,focus_areas,description,size,key_people,url,aisafety_map_category_1,aisafety_map_category_2,aisafety_map_category_3,aisafety_map_status,founded,hq_location,funding
Bank of England,Other,Financial Systems & Systemic Risk; Threat Models,"UK central bank. Publisher of the April 2025 'Financial Stability in Focus' report on AI in financial services, already in the paper canon, examining systemic risk from AI adoption and concentration in financial markets.","~4,700 staff",Andrew Bailey (Governor); Financial Policy Committee (issuing body for Financial Stability in Focus),https://www.bankofengland.co.uk/,Video,,,Active,1694,"London, UK",UK central bank (statutory body)
Don't Worry About the Vase,Other,Threat Models; Coordination & (Super-)cooperation,"Blog by Zvi Mowshowitz covering AI, policy, rationality, and other topics, posting very frequently with detailed weekly AI news synthesis. Wrote a dedicated piece on gradual disempowerment ('The Risk of Gradual Disempowerment from AI'), engaging directly with the paper already in your canon.","1 (individual author, Zvi Mowshowitz)","Zvi Mowshowitz (author; former Magic: The Gathering Hall of Fame player, ex-Jane Street trader, MetaMed founder)",https://thezvi.wordpress.com/,Blog,,,Active,2011,,"Reader-supported (Substack subscriptions); author states he receives 'generous, essentially unconditional, anonymous' philanthropic support"
AI X-risk Research Podcast (AXRP),Other,Threat Models; Foundations & Taxonomies,"Interviews with (mostly technical) AI safety researchers about their research, aiming to get a sense of why it was written and how it might reduce existential risk from AI. Has interviewed David Duvenaud (Gradual Disempowerment co-author) and covered multi-agent/collective-behaviour research topics.","1 (host, Daniel Filan)",Daniel Filan (host),https://axrp.net/,Podcast,,,Active,2020,,"Listener-supported (Patreon, Ko-fi)"
AI Prospects,Other,Foundations & Taxonomies; Agentic Economies,"Blog by K. Eric Drexler on AI prospects and their surprising implications for technology, economics, environmental concerns, and military affairs.","1 (author, K. Eric Drexler)","K. Eric Drexler (author of 'Reframing Superintelligence' / Comprehensive AI Services, already in your paper canon; former Future of Humanity Institute researcher)",https://aiprospects.substack.com/,Blog,,,Active,2024,,Individual Substack
The Cognitive Revolution,Other,Agentic Economies; Foundations & Taxonomies,"Weekly podcast where host Nathan Labenz interviews AI innovators and thinkers, discussing the transformative impact AI will likely have in the near future. Has covered agent-to-agent economy dynamics and interviewed Zvi Mowshowitz on AI safety worldview and multi-agent-relevant topics.",,"Nathan Labenz (host), Erik Torenberg (co-host)",https://www.cognitiverevolution.ai/,Podcast,,,Active,2023,,Turpentine Media network; sponsor-supported
Import AI,Other,Agentic Economies; Foundations & Taxonomies,"Weekly updates on the latest developments in AI research (including governance), written by Jack Clark, co-founder of Anthropic.","1 (author, Jack Clark)","Jack Clark (author; co-founder and Head of Policy, Anthropic)",https://jack-clark.net/,Newsletter,,,Active,2016,,Individual newsletter (jack-clark.net)
LargeAgentSystems.org,Other,Foundations & Taxonomies; Threat Models; Collective Intelligence; Agentic Economies; Coordination & (Super-)cooperation,"Resource hub for the emerging field of Large Agent Systems (LAS) safety -- decentralised systems of AI agents with high-speed, complex interactions, often ingratiated with the real world and possibly including humans (e.g. agentic economies, societies, democracies). Covers threat models including distributional AGI, gradual disempowerment, and systemic financial risk from agent integration.",Solo,Stephen Elliott (Gigascale Labs),https://www.largeagentsystems.org,Research support,,,Active,2026,Online,Self-funded
Large Agent Systems Safety (Slack channel),Other,Threat Models; Coordination & (Super-)cooperation; Collective Intelligence,"Community Slack channel for discussion and coordination around Large Agent Systems (LAS) safety -- the emerging field concerned with making decentralised, high-speed, complex multi-agent AI systems beneficial to human well-being.",Solo-run (admin),Stephen Elliott (Gigascale Labs),,Resource,,,Active,2026,Online,Self-funded
EvoMap,Protocol/Network,LA Infrastructure & Protocols; Coordination & (Super-)cooperation,"Agent-to-Agent (A2A) collaboration network implementing the Genome Evolution Protocol (GEP), letting AI agents package, share, and inherit validated problem-solving capabilities ('Gene Capsules') across models and organizations via a credit-based marketplace.",128K+ agents and 1.5M+ assets recorded in independent measurement study (Ye et al. 2026),Not publicly identified,https://evomap.ai/,Empirical research,,,Active,2026,Distributed,
Olas Network,Protocol/Network,Agentic Economies; LA Infrastructure & Protocols,"Decentralized protocol (formerly Autonolas) for building, registering, and monetizing autonomous AI agents on-chain. Provides on-chain registries (agents/components as NFTs), a staking/bonding tokenomics model, and a Mech Marketplace for agent services.",146 open-source repos; ~27-64+ live agent services reported at various points; Valory (core dev company) team size not disclosed,"David Minarsch (co-founder, ex-Fetch.ai AEA stack)",https://olas.network/,Video,,,Active,2021, (protocol is chain-based; issuing company Valory Ltd.),
Bittensor,Protocol/Network,Agentic Economies; LA Infrastructure & Protocols; Collective Intelligence,"Decentralized blockchain network structured as many interoperable 'subnets,' each an incentivized market for a specific AI/ML task (LLM pretraining, inference, data, image generation, etc.), coordinated via Yuma Consensus and priced in TAO.",64-100+ active subnets as of 2026; thousands of miners/validators across the network,Jacob Steeves (founder; now also CEO of Affine),https://bittensor.com/,Video,,,Active,2021, (Opentensor Foundation coordinates core dev),
Collective Intelligence Project,Research Nonprofit,Coordination & (Super-)cooperation; Policy and Governance; Collective Intelligence,"501(c)(3) nonprofit R&D lab building tools and datasets (e.g. Global Dialogues, Collective Generation, Weval) for democratic oversight and collective governance of AI, connecting global public input to AI labs, governments, and standards bodies.",Small team + fellowship cohorts,"Divya Siddarth (Founder/Executive Director), Saffron Huang (Co-founder), Jasmine Wang (Co-founder), Zarinah Agnew (Research Director)",https://www.cip.org/,Governance,,,Active,2023,,Backed by philanthropic funding (specific amount not confirmed in search)
Metagov,Research Nonprofit,Coordination & (Super-)cooperation; Policy and Governance; LA Infrastructure & Protocols,"Interdisciplinary research collective building standards, infrastructure, and empirical research for digital self-governance, DAOs, and online communities. Runs DAOstar (DAO governance standards body) and Govbase (crowdsourced governance database).","~1,700-person Slack community; small core research staff","Joshua Tan (co-founder), plus network including Lawrence Lessig, Ellie Rennie, Primavera De Filippi, Nathan Schneider, Michael Zargham, Kelsie Nabben",https://metagov.org/,Conceptual research,,,Active,2020,"Cambridge, MA, USA",Grant-funded (e.g. GitcoinDAO funding for MetagovDAO; various project-level grants)
Lida Safety Research,Research Nonprofit,Threat Models; Simulation and Digital Twins; Policy and Governance,"Small nonprofit dedicated to technical AI safety research focused on forecasting and simulation, particularly mitigating existential risk and gradual disempowerment; work feeds into AI governance and public education.",Small (self-described),Not publicly identified in search results,https://www.lidasafety.org/,Empirical research,Forecasting,,Active,2026,,
Equilibria Network,Research Nonprofit,Threat Models; Collective Intelligence; Coordination & (Super-)cooperation,"Builds mathematical frameworks (phase transition analysis and related tools) to predict where multi-agent AI systems break down, and identifies control levers to prevent those breakdowns. Explores the design space of collective intelligence through simulation and mathematical foundations.",,Not publicly identified in search results,https://eq-network.org/,Conceptual research,Governance,,Active,2024,,
Alignment of Complex Systems Research Group (ACS),Research Nonprofit,Threat Models; Multi-Agent Alignment; Collective Intelligence; Coordination & (Super-)cooperation,"Interdisciplinary research group studying multi-agent systems composed of humans and advanced AI, across scales from individual agents to civilization-scale systems. Core research threads include gradual disempowerment, LLM psychology/sociology, hierarchical agency, and a general 'science of the space of intelligent systems.' Built InterLab, an open-source toolkit for multi-agent interaction experiments.",Small (core team plus researchers/engineers across three locations),"Jan Kulveit (Co-founder; PhD physics, Charles University; former Research Fellow at Future of Humanity Institute, Oxford)",https://acsresearch.org/,Conceptual research,,,Active,2022,"Prague, Czech Republic (also London, UK and San Francisco Bay Area, USA)","Not publicly itemized (research budget cited in job postings, $80-200k USD compensation range per role)"
National Bureau of Economic Research (NBER),Research Nonprofit,Agentic Economies; Labour & Automation; Threat Models,"US economic research organization distributing working papers ahead of peer review across all fields of economics. Publisher of 'Automation and Repression' (Acemoglu, Gitmez & Shadmehr) already in the paper canon, and of the volume 'The Economics of Transformative AI' containing 'An Economy of AI Agents' (Hadfield & Koh), also in the canon.","~1,700 affiliated researchers (mostly academic economists with NBER affiliation, not direct employees)","James Poterba (President); Daron Acemoglu, A. Arda Gitmez, Mehdi Shadmehr (authors, Automation and Repression); Gillian Hadfield, Andrew Koh (authors, An Economy of AI Agents)",https://www.nber.org/,Video,,,Active,1920,"Cambridge, Massachusetts, USA","Nonprofit; funded via government grants, foundations, corporations, and individual contributions"
Centre for the Governance of AI (GovAI),Research Nonprofit,Policy and Governance; Threat Models; Agentic Economies,"Independent nonprofit research centre producing rigorous research on AI governance and fostering policy talent, spun out from Oxford's Future of Humanity Institute in 2021. Research spans international security, arms race dynamics, compute governance, and -- notably for LAS -- agent infrastructure and governance (e.g. recent work on private-actor vs. government roles in agent protocols/safety)."," (research fellows, scholars, and affiliate community)",Allan Dafoe (Founding Director; now also at Google DeepMind); Ben Garfinkel (Director),https://www.governance.ai/,Governance,,,Active,2018,"Oxford, UK","Philanthropic; funders have included Open Philanthropy, the Center for Emerging Risk Research, and Effective Altruism Funds"
Modeling Cooperation,Research Nonprofit,Coordination & (Super-)cooperation; Multi-Agent Alignment; Threat Models,Conducts research and builds software helping improve cooperation in competition for the development of transformative AI.,,Not verified in search,https://www.modelingcooperation.com/,Conceptual research,Research support,,Active,2019,,
AI Safety South Africa (AISSA),Research Nonprofit,Coordination & (Super-)cooperation; Multi-Agent Alignment,"Capacity-building organisation focused on developing skills, networks, and community for preventing global catastrophic outcomes from advanced AI. Drives the Cooperative AI Research Fellowship (with CAIF, PIBBSS, and UCT's AI Initiative), serving as both talent pipeline and research direction-setter for UCT's emerging African AI Safety Hub.",,Not verified in search,https://www.cai-research-fellowship.com/,Video,,,Active,2023,"Cape Town, South Africa",AI Safety Tactical Opportunities Fund and Cooperative AI Foundation fund the fellowship; fellows receive compute credits from Lambda
BlueDot Impact,Research Nonprofit,Policy and Governance,"Runs the standard introductory courses for people new to AI safety: Technical AI Safety and Frontier AI Governance, plus AGI Strategy. The Frontier AI Governance course includes a unit examining 'competitive dynamics between labs and states, power concentration' relevant to multi-agent/multi-principal AI ecosystems.","4-7 person core team; 7,000+ alumni trained since 2022",Not individually verified in search,https://bluedot.org/,Training and education,,,Active,2022,"London, UK","$35M raised total, including $25M in 2025"
"80,000 Hours",Research Nonprofit,Policy and Governance,"In-depth career advice organisation covering the world's most pressing problems, including AI safety, through a job board, problem profiles, and a podcast featuring extended interviews with researchers across the field.",,"Benjamin Todd (co-founder), William MacAskill (co-founder)",https://80000hours.org/,Career support,,,Active,2011,"London, UK",Philanthropically funded (part of the Effective Ventures ecosystem)
PIBBSS Fellowship,Research Nonprofit; Academic Programme/Lab,Coordination & (Super-)cooperation; Multi-Agent Alignment; Collective Intelligence,3-month interdisciplinary program connecting researchers from diverse fields with AI safety mentors. Runs a dedicated Cooperative AI Track (funded by CAIF) focused on projects aiming to mitigate multi-agent AI risks and enhance cooperative intelligence of advanced AI.,Up to 6 fellows per Cooperative AI Track cohort,Not verified in search,https://princint.ai/programs/fellowship/,Training and education,,,Active,2021,,General fellowship funding plus CAIF-specific support for the Cooperative AI Track
Cooperative AI Foundation,Research Nonprofit; Funder,Coordination & (Super-)cooperation; Multi-Agent Alignment; Surveys,"Charitable foundation supporting research to improve the cooperative intelligence of advanced AI, funding grants, PhD fellowships, and workshops; produced the field-defining 'Multi-Agent Risks from Advanced AI' survey.",Small core team plus PhD Fellowship cohorts and grantees,"Allan Dafoe, Gillian Hadfield, Eric Horvitz, Dario Amodei, Ruairi Donnelly (founding); Lewis Hammond (Research Director); David Norman (Managing Director); Thore Graepel (Board of Trustees, Google DeepMind)",https://www.cooperativeai.com/,Funding,,,Active,2021,"London, UK","$15M initial philanthropic commitment from the Center on Emerging Risk Research (now Macroscopic Ventures); additional $10M fund announced with Schmidt Sciences, Google DeepMind, ARIA, and Google.org"
Center on Long-Term Risk (CLR),Research Nonprofit; Funder,Coordination & (Super-)cooperation; Threat Models; Multi-Agent Alignment,"Research, grants, and community-building around AI safety, focused on conflict scenarios as well as technical and philosophical aspects of cooperation between AI systems.",,Not verified in search,https://longtermrisk.org/,Conceptual research,Strategy,Funding,Active,2013,"London, UK",Runs its own fund (CLR: Fund) supporting projects addressing worst-case/suffering risks from AI
MoltBook,Protocol/Network,,,,,,,,,,2026,,
ClawHub,,,,,,,,,,,2026,,
Artificial Superintelligence Network,,,,,,,,,,,,,
MCP,,,,,,,,,,,2024,,
A2A,,,,,,,,,,,2025,,
Project NANDA,,,,,,,,,,,2025,,
